!Source	"The Drug Repurposing Hub, Broad Institute"				
!URL	http://www.broadinstitute.org/repurposing				
!File_date	8/18/2025				
!Table_name	drug_information				
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.				
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.				
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.				
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."				
!Contact	repurposing@broadinstitute.org				
pert_iname	clinical_phase	moa	target	disease_area	indication
AC-264613	Preclinical	PAR agonist	F2RL1		
AC-55541	Preclinical	PARP inhibitor	F2RL1 | PARP2		
AC-55649	Preclinical	retinoid receptor agonist	RARA | RARB		
AC-710	Preclinical	PDGFR tyrosine kinase receptor inhibitor	CSF1R | FLT3 | KIT | PDGFRA | PDGFRB		
AC-7954-(+/-)	Preclinical	urotensin receptor agonist	UTS2R		
acadesine	Phase 3	AMPK activator			
acalabrutinib	Launched	Bruton's tyrosine kinase (BTK) inhibitor	BTK	hematologic malignancy	mantle cell lymphoma (MCL)
acalisib	Phase 1	PI3K inhibitor	PIK3CB | PIK3CD		
acamprosate	Launched	glutamate receptor antagonist	GABRA1 | GABRA2 | GABRA3 | GABRA4 | GABRA5 | GABRA6 | GABRB1 | GABRB2 | GABRB3 | GABRD | GABRE | GABRG1 | GABRG2 | GABRG3 | GABRP | GABRQ | GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D | GRIN3A | GRIN3B | GRM5	neurology/psychiatry	abstinence from alcohol
acarbose	Launched	glucosidase inhibitor	AMY2A | GAA | MGAM	endocrinology	diabetes mellitus
ACDPP	Preclinical	glutamate receptor antagonist	GRM5		
acebilustat	Phase 2	leukotriene inhibitor	LTA4H		
acebutolol	Launched	adrenergic receptor antagonist	ADRB1	cardiology | cardiology	hypertension | ventricular arrhythmias
acebutolol hydrochloride	Launched	adrenergic receptor antagonist	CES2	Cardiology	angina pectoris
acecainide	Phase 3	polarization inhibitor	SCN5A		
aceclidine	Launched	acetylcholine receptor agonist	CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5	ophthalmology	glaucoma
aceclidine hcl	Launched	acetylcholine receptor agonist	CHRM1 | CHRM2 | CHRM3 | CHRM4 | CHRM5	ophthalmology	glaucoma
